,SKU,Name,Description,option1_name,option1_value,option2_name,option2_value,cost_price,Var_inv_No,weight,compared_price,sell_price,tags,vendor_satici,image 1,image 2,image 3,image 4,image 5,image 6,Original_link,Original_Price_TRY
0,121314584-1-None,طقم غطاء لحاف وغطاء وسادة مزدوج قطن 100٪ ألتو رمادي 160.02.01.0291.0,"<p>سارة أندرسون ألتو رمادي 100٪ قطن مزدوج غطاء لحاف ومجموعة وسادة محتويات غطاء لحاف: 200 سم × 220 سم</p>
<p>كيس وسادة: 50 سم × 70 سم (قطعتان)</p>
<p>نوع الخامة: 100٪ قطن. المميزات يمكن غسلها في الغسالة ينصح بغسلها في درجة حرارة 30 درجة.</p>
<p>مناسب للاستخدام في المجفف.</p>
<p>تنظيف جاف.</p>
<p>مناسب للكي.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 50 سهماً للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>يمكن بيع المنتج من قبل أكثر من بائع واحد. يصبح البائع الذي حصل على أعلى الدرجات وفقًا لميزة السعر وسرعة التسليم ومعدلات الإرجاع وجودة الخدمة العامة ، مع مراعاة رضا المستهلك في قائمة المنتجات وصفحات التفاصيل ، هو البائع المرئي. البائعون الآخرون مدرجون كبدائل في صفحة تفاصيل المنتج.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,160 x 220,,,10,7,1.5,12.15,12.15,غطاء لحاف كبير الحجم,Sarah Anderson,https://cdn.dsmcdn.com/ty335/product/media/images/20220217/0/51388260/195277453/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty335/product/media/images/20220217/0/51388260/195277453/2/2_org_zoom.jpg,,,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/121314584?storefrontId=1&culture=tr-TR&linearVariants=true,179.99
1,192223939-1-Somon,طقم غطاء لحاف مزدوج من بامينا رانفورس - سلمون YTSGRPIST-1428489,"<p>مجموعة أغطية لحاف Pamena Ranforce ، التي تجمع بين الطاقة السادة والنبيلة لسمك السلمون مع أنماط الخطوط ، تقدم تصميمًا هادئًا وخالد. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>الألوان لا تتلاشى</p>
<p>نسيج متين يدوم طويلاً</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492260/316263215/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492260/316263215/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492260/316263215/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492260/316263215/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192223939?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
2,192223871-1-Mavi,أفيفا رانفورس طقم غطاء لحاف مزدوج - أزرق YTSGRPIST-1428492,"<p>تلفت مجموعة أغطية اللحاف Aviva Ranforce Duvet Cover Set الانتباه مع التناغم المثالي لتباين الألوان الزاهية ، وتحدث فرقًا في غرف النوم بتصميمها الاستثنائي. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>استخدام ثنائي الاتجاه</p>
<p>نسيج ناعم غير مهترئ</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492190/316263099/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492190/316263099/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492190/316263099/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492190/316263099/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192223871?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
3,192223945-1-Pembe,Lilya Ranforce طقم غطاء لحاف مزدوج - وردي YTSGRPIST-1428487,"<p>تضيف مجموعة أغطية لحاف Lilya Ranforce أسلوبًا عصريًا إلى غرف النوم مع أنماط الأزهار التي تعكس الأناقة الكلاسيكية والطاقة المهدئة للون الوردي. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>استخدام ثنائي الاتجاه</p>
<p>نسيج ناعم غير مهترئ</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492263/316263226/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181492263/316263226/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181492263/316263226/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181492263/316263226/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192223945?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
4,192224006-1-Mavi,طقم غطاء لحاف مزدوج من مارفن رانفورس - أزرق YTSGRPIST-1428497,"<p>تعكس مجموعة أغطية لحاف مارفن رانفورس فهماً جمالياً طبيعياً لغرفة نومك بدرجات ألوانها الهادئة وتطبيق النمط الأصلي. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>استخدام ثنائي الاتجاه</p>
<p>نسيج ناعم غير مهترئ</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181492328/316263318/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492328/316263318/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492328/316263318/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492328/316263318/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192224006?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
5,192218196-1-Sarı,Lilya Ranforce طقم غطاء لحاف مزدوج - أصفر YTSGRPIST-1428488,"<p>تضيف مجموعة أغطية لحاف Lilya Ranforce أسلوبًا عصريًا إلى غرف النوم مع أنماط الأزهار التي تعكس الأناقة الكلاسيكية والطاقة المهدئة للون الوردي. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>استخدام ثنائي الاتجاه</p>
<p>نسيج ناعم غير مهترئ</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181486244/316252985/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181486244/316252985/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181486244/316252985/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181486244/316252985/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192218196?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
6,56801056-1-0,طقم غطاء لحاف ووسادة مزدوج من Tasya,"<p>سارة أندرسون تاسيا طقم غطاء لحاف مزدوج ووسادة - محتويات المجموعة ---- - غطاء لحاف: 200 سم × 220 سم</p>
<p>- كيس وسادة: 50 سم × 70 سم (قطعتان)</p>
<p>- ---- الخامة: 100٪ قطن ---- المميزات ---- - قابل للغسل في الغسالة ، ينصح بغسله في درجة حرارة 30 مئوية.</p>
<p>- مناسب للاستخدام في المجفف.</p>
<p>- تنظيف جاف.</p>
<p>- مناسب للكي.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>يوجد أقل من 5 أسهم يتم بيعها بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>يمكن بيع المنتج من قبل أكثر من بائع واحد. يصبح البائع الذي حصل على أعلى الدرجات وفقًا لميزة السعر وسرعة التسليم ومعدلات الإرجاع وجودة الخدمة العامة ، مع مراعاة رضا المستهلك في قائمة المنتجات وصفحات التفاصيل ، هو البائع المرئي. البائعون الآخرون مدرجون كبدائل في صفحة تفاصيل المنتج.</p>
<p>السعر المدرج صالح حتى 28 مارس 2022.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,160 x 220,,,10,7,1.5,13.37,13.37,غطاء لحاف كبير الحجم,Sarah Anderson,https://cdn.dsmcdn.com/ty354/product/media/images/20220310/14/67095073/100563705/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty354/product/media/images/20220310/14/67095073/100563705/2/2_org_zoom.jpg,,,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/56801056?storefrontId=1&culture=tr-TR&linearVariants=true,198
7,48880869-1-renkli,طقم غطاء لحاف وغطاء وسادة مزدوج قطن Vella 160.02.01.0199.00,"<p>طقم من غطاء لحاف وغطاء وسادة قطني مزدوج من Sarah Anderson Vella محتويات غطاء اللحاف: 200 سم × 220 سم</p>
<p>كيس وسادة: 50 سم × 70 سم (قطعتان)</p>
<p>الخامة: 100٪ قطن الميزات قابل للغسل في الغسالة ، ينصح بغسله في درجة حرارة 30 مئوية.</p>
<p>مناسب للاستخدام في المجفف.</p>
<p>تنظيف جاف.</p>
<p>مناسب للكي.</p>
<p>لا توجد ملاءات.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>يتم عرض أكثر من 10 أسهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>يمكن بيع المنتج من قبل أكثر من بائع واحد. يصبح البائع الذي حصل على أعلى الدرجات وفقًا لميزة السعر وسرعة التسليم ومعدلات الإرجاع وجودة الخدمة العامة ، مع مراعاة رضا المستهلك في قائمة المنتجات وصفحات التفاصيل ، هو البائع المرئي. البائعون الآخرون مدرجون كبدائل في صفحة تفاصيل المنتج.</p>
",الأبعاد,200x220,,,10,7,1.5,11.75,12.22,غطاء لحاف كبير الحجم,Sarah Anderson,https://cdn.dsmcdn.com/ty340/product/media/images/20220222/17/56211893/86660015/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty340/product/media/images/20220222/17/56211893/86660015/2/2_org_zoom.jpg,,,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/48880869?storefrontId=1&culture=tr-TR&linearVariants=true,174
8,121751532-1-None,طقم من غطاء لحاف ووسادة مزدوج قطن 100٪ لون نيلي من لابيس 160.02.01.0353.0,"<p>مجموعة من غطاء لحاف وغطاء وسادة قطني مزدوج من Sarah Anderson Lapis Indigo محتويات غطاء لحاف: 200 سم × 220 سم</p>
<p>كيس وسادة: 50 سم × 70 سم (قطعتان)</p>
<p>الخامة: 100٪ قطن الميزات قابل للغسل في الغسالة. يوصى بالغسيل عند 30 درجة.</p>
<p>مناسب للاستخدام في المجفف.</p>
<p>تنظيف جاف.</p>
<p>يمكن عمل 6 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 6 وحدات.</p>
<p>تم طرح أكثر من 50 سهماً للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,12.15,12.15,غطاء لحاف كبير الحجم,Sarah Anderson,https://cdn.dsmcdn.com/ty277/product/media/images/20211223/9/15416616/195879447/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty278/product/media/images/20211223/9/15416616/195879447/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty277/product/media/images/20211223/9/15416616/195879447/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty278/product/media/images/20211223/9/15416616/195879447/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/121751532?storefrontId=1&culture=tr-TR&linearVariants=true,179.99
9,192223767-1-Pembe,مارشيا رانفورس طقم غطاء لحاف مزدوج - وردي YTSGRPIST-1428788,"<p>تجمع مجموعة أغطية لحاف Marcia Ranforce Duvet Cover بين أنماطها الأصلية والانسجام المثالي بين اللونين الوردي والأبيض ، مما يضفي أناقة هادئة على غرف النوم. محتويات ومميزات الطقم نسيج قطني 100٪ لا يتعرق</p>
<p>استخدام ثنائي الاتجاه</p>
<p>نسيج ناعم غير مهترئ</p>
<p>52 كثافة نسج الأسلاك</p>
<p>غطاء اللحاف: 200x220 سم (قطعة واحدة)</p>
<p>كيس وسادة دولاب الموازنة: 50x70 سم (قطعتان)</p>
<p>بياضات السرير غير متضمنة في المجموعة.</p>
<p>تعليمات الغسيل</p>
<p>يوصى بالغسيل عند 30 درجة لا يوجد تبييض يمكن الكي في درجة حرارة متوسطة (150 درجة كحد أقصى) لا يجب القيام بالتجفيف باستخدام التجفيف الجاف.</p>
<p>يمكن إجراء 10 طلبات كحد أقصى لهذا المنتج. يحتفظ مولنا أونلاين بالحق في إلغاء الطلبات التي تزيد عن 10 وحدات.</p>
<p>تم طرح أكثر من 100 سهم للبيع بسعر الحملة.</p>
<p>يحدد البائع سعر بيع المنتج الذي قمت بفحصه.</p>
<p>لم يتم تضمين هذا المنتج في حملة الخصم.</p>
",الأبعاد,200 x 220,,,10,7,1.5,13.5,13.5,غطاء لحاف كبير الحجم,Yataş,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492087/316262906/1/1_org_zoom.jpg,https://cdn.dsmcdn.com/ty248/product/media/images/20211116/17/181492087/316262906/2/2_org_zoom.jpg,https://cdn.dsmcdn.com/ty246/product/media/images/20211116/17/181492087/316262906/3/3_org_zoom.jpg,https://cdn.dsmcdn.com/ty247/product/media/images/20211116/17/181492087/316262906/4/4_org_zoom.jpg,,,https://public.trendyol.com/discovery-web-productgw-service/api/productDetail/192223767?storefrontId=1&culture=tr-TR&linearVariants=true,199.92
